Rk,name,code,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV_G,PP_G,SH_G,GW_G,EV_A,PP_A,SH_A,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,W,L,OL,TM_PTS,DIV,PLAYOFF,ppg%,ppa%,pkg%,pka%,Color
1,Justin Abdelkader,abdelju01,31,DET,LW,71,6,13,19,-14,38,0.1,4,1,1,0,12,1,0,95,6.3,1093,15:24:00,34,185,52,51,50.5,32,40,10,74,ATL,n,0.166666667,0.076923077,0.166666667,0,#CE1126
2,Pontus Aberg,abergpo01,25,ANA,LW,37,11,8,19,-10,14,1.8,8,3,0,1,7,1,0,74,14.9,578,15:37:00,7,31,2,9,18.2,35,37,10,80,PAC,n,0.272727273,0.125,0,0,#F47A38
2,Pontus Aberg,abergpo01,25,MIN,LW,22,1,5,6,-4,6,0.2,1,0,0,0,2,3,0,27,3.7,283,12:52:00,4,14,0,8,0,37,36,9,83,CEN,n,0,0.6,0,0,#154734
3,Vitaly Abramov,abramvi01,20,OTT,RW,1,0,0,0,-3,0,-0.1,0,0,0,0,0,0,0,0,NA,14,13:52:00,1,0,0,0,NA,29,47,6,64,ATL,n,NaN,NaN,NaN,NaN,#C2912C
4,Noel Acciari,acciano01,27,BOS,C,72,6,8,14,-3,47,0.4,6,0,0,2,8,0,0,99,6.1,935,12:59:00,36,221,200,203,49.6,49,24,9,107,ATL,y,0,0,0,0,#FFB81C
5,Kenny Agostino,agostke01,26,MTL,LW,36,2,9,11,-1,26,0.5,2,0,0,0,6,3,0,38,5.3,403,11:11:00,4,80,8,14,36.4,44,30,8,96,ATL,n,0,0.333333333,0,0,#AF1E2D
5,Kenny Agostino,agostke01,26,NJD,LW,27,4,9,13,-2,8,1.1,4,0,0,0,7,2,0,41,9.8,411,15:13:00,10,63,7,13,35,31,41,10,72,MET,n,0,0.222222222,0,0,#000000
6,Andrew Agozzino,agozzan01,28,COL,LW,11,1,1,2,2,0,0.2,1,0,0,0,1,0,0,11,9.1,86,7:49:00,3,14,16,22,42.1,38,30,14,90,CEN,y,0,0,0,0,#6F263D
7,Sebastian Aho,ahose01,21,CAR,RW,82,30,53,83,25,26,9.8,23,3,4,7,31,21,1,243,12.3,1652,20:09:00,34,65,585,619,48.6,46,29,7,99,MET,y,0.1,0.396226415,0.133333333,0.018867925,#CC0000
8,Mark Alt,altma01,27,COL,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,9:55:00,2,0,0,0,NA,38,30,14,90,CEN,y,NaN,NaN,NaN,NaN,#6F263D
9,Karl Alzner,alzneka01,30,MTL,D,9,0,1,1,1,2,0.3,0,0,0,0,1,0,0,8,0,156,17:18:00,10,13,0,0,NA,44,30,8,96,ATL,n,NaN,0,NaN,0,#AF1E2D
10,Michael Amadio,amadimi01,22,LAK,C,43,6,7,13,-1,6,1.3,6,0,0,0,7,0,0,37,16.2,439,10:12:00,13,16,96,127,43,31,42,9,71,PAC,n,0,0,0,0,#111111
11,Joey Anderson,anderjo08,20,NJD,RW,34,4,3,7,-7,6,0.2,3,0,1,1,3,0,0,49,8.2,439,12:54:00,11,42,9,8,52.9,31,41,10,72,MET,n,0,0,0.25,0,#000000
12,Josh Anderson,anderjo05,24,CBJ,RW,82,27,20,47,25,60,6.2,22,3,2,5,15,4,1,230,11.7,1396,17:01:00,40,214,12,26,31.6,47,31,4,98,MET,y,0.111111111,0.2,0.074074074,0.05,#002654
13,Jaret Anderson-Dolan,anderja01,19,LAK,C,5,0,1,1,-2,0,-0.1,0,0,0,0,1,0,0,6,0,58,11:36:00,2,5,4,5,44.4,31,42,9,71,PAC,n,NaN,0,NaN,0,#111111
14,Lias Andersson,anderli01,20,NYR,C,42,2,4,6,-13,29,-0.4,1,0,1,0,4,0,0,41,4.9,450,10:43:00,8,60,84,106,44.2,32,36,14,78,MET,n,0,0,0.5,0,#0038A8
15,Rasmus Andersson,anderra01,22,CGY,D,79,2,17,19,17,23,3.8,2,0,0,0,15,2,0,115,1.7,1267,16:02:00,83,52,0,0,NA,50,25,7,107,PAC,y,0,0.117647059,0,0,#C8102E
16,Sven Andrighetto,andrisv01,25,COL,RW,64,7,10,17,10,14,1.6,7,0,0,1,10,0,0,95,7.4,708,11:04:00,32,29,3,8,27.3,38,30,14,90,CEN,y,0,0,0,0,#6F263D
17,Artem Anisimov,anisiar01,30,CHI,C,78,15,22,37,-2,14,2.6,13,1,1,1,19,3,0,142,10.6,1275,16:21:00,33,25,332,394,45.7,36,34,12,84,CEN,n,0.066666667,0.136363636,0.066666667,0,#CF0A2C
18,Mason Appleton,applema01,23,WPG,C,36,3,7,10,9,4,1.1,3,0,0,1,7,0,0,29,10.3,295,8:12:00,12,28,0,1,0,47,30,5,99,CEN,y,0,0,0,0,#004C97
19,Darren Archibald,archida02,28,VAN,RW,9,1,1,2,-1,12,0.2,1,0,0,0,1,0,0,8,12.5,69,7:38:00,3,8,0,1,0,35,36,11,81,PAC,n,0,0,0,0,#00843D
19,Darren Archibald,archida02,28,OTT,RW,3,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0,20,6:35:00,1,2,0,0,NA,29,47,6,64,ATL,n,NaN,NaN,NaN,NaN,#C2912C
20,Josh Archibald,archijo01,26,ARI,RW,68,12,10,22,1,15,2.4,12,0,0,1,9,0,1,92,13,923,13:34:00,39,161,12,25,32.4,39,35,8,86,PAC,n,0,0,0,0.1,#8C2633
21,Joel Armia,armiajo01,25,MTL,RW,57,13,10,23,0,14,2,10,2,1,2,6,4,0,134,9.7,900,15:48:00,21,113,5,24,17.2,44,30,8,96,ATL,n,0.153846154,0.4,0.076923077,0,#AF1E2D
22,Viktor Arvidsson,arvidvi01,25,NSH,LW,58,34,14,48,12,26,7,29,3,2,7,12,1,1,195,17.4,1110,19:09:00,23,18,2,15,11.8,47,29,6,100,CEN,y,0.088235294,0.071428571,0.058823529,0.071428571,#FFB81C
23,Zach Aston-Reese,astonza01,24,PIT,C,43,8,9,17,12,26,1.9,7,0,1,1,9,0,0,76,10.5,587,13:39:00,37,138,8,10,44.4,44,26,12,100,MET,y,0,0,0.125,0,#FCB514
24,Andreas Athanasiou,athanan01,24,DET,C,76,30,24,54,-9,38,5.9,27,3,0,4,16,8,0,216,13.9,1290,16:58:00,26,33,171,228,42.9,32,40,10,74,ATL,n,0.1,0.333333333,0,0,#CE1126
25,Cam Atkinson,atkinca01,29,CBJ,RW,80,41,28,69,3,20,8.8,29,8,4,8,22,6,0,295,13.9,1550,19:23:00,25,27,24,52,31.6,47,31,4,98,MET,y,0.195121951,0.214285714,0.097560976,0,#002654
26,Nicolas Aube-Kubel,aubekni01,22,PHI,RW,9,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,50,5:35:00,0,14,0,0,NA,37,37,8,82,MET,n,NaN,NaN,NaN,NaN,#F74902
27,David Backes,backeda01,34,BOS,C,70,7,13,20,0,31,1.3,5,2,0,1,8,5,0,129,5.4,913,13:02:00,30,140,176,133,57,49,24,9,107,ATL,y,0.285714286,0.384615385,0,0,#FFB81C
28,Mikael Backlund,backlmi01,29,CGY,C,77,21,26,47,34,52,5.4,19,1,1,4,24,1,1,205,10.2,1378,17:54:00,26,52,511,520,49.6,50,25,7,107,PAC,y,0.047619048,0.038461538,0.047619048,0.038461538,#C8102E
29,Nicklas Backstrom,backsni02,31,WSH,C,80,22,52,74,2,30,6.6,15,7,0,5,34,18,0,169,13,1596,19:57:00,30,54,700,739,48.6,48,26,8,104,MET,y,0.318181818,0.346153846,0,0,#041E42
30,Sven Baertschi,baertsv01,26,VAN,LW,26,9,5,14,-9,6,1.4,6,3,0,0,1,4,0,43,20.9,394,15:08:00,13,18,1,3,25,35,36,11,81,PAC,n,0.333333333,0.8,0,0,#00843D
31,Josh Bailey,bailejo01,29,NYI,C,82,16,40,56,8,21,5.4,13,2,1,4,28,12,0,126,12.7,1380,16:50:00,32,19,140,132,51.5,48,27,7,103,MET,y,0.125,0.3,0.0625,0,#00539B
32,Justin Bailey,baileju01,23,PHI,RW,11,0,1,1,0,2,0,0,0,0,0,1,0,0,5,0,63,5:44:00,5,9,0,0,NA,37,37,8,82,MET,n,NaN,0,NaN,0,#F74902
33,Rudolfs Balcers,balceru01,21,OTT,LW,36,5,9,14,-7,10,0.9,2,3,0,1,8,1,0,48,10.4,445,12:21:00,24,18,1,6,14.3,29,47,6,64,ATL,n,0.6,0.111111111,0,0,#C2912C
34,Ivan Barbashev,barbaiv01,23,STL,C,80,14,12,26,-4,17,2.5,12,0,2,1,12,0,0,60,23.3,921,11:31:00,31,86,201,240,45.6,45,28,9,99,CEN,y,0,0,0.142857143,0,#002F87
35,Mark Barberio,barbema01,28,COL,D,12,1,0,1,-6,4,-0.1,1,0,0,0,0,0,0,11,9.1,183,15:14:00,14,13,0,0,NA,38,30,14,90,CEN,y,0,NaN,0,NaN,#6F263D
36,Aleksander Barkov,barkoal01,23,FLA,C,82,35,61,96,-3,8,10,22,13,0,5,42,18,1,206,17,1833,22:21:00,61,28,1041,898,53.7,36,32,14,86,ATL,n,0.371428571,0.295081967,0,0.016393443,#B9975B
37,Tyson Barrie,barrity01,27,COL,D,78,14,45,59,-3,36,8.4,12,2,0,2,22,23,0,218,6.4,1699,21:47:00,93,48,0,0,NA,38,30,14,90,CEN,y,0.142857143,0.511111111,0,0,#6F263D
38,Matt Bartkowski,bartkma01,30,MIN,D,2,1,0,1,2,0,0.4,1,0,0,0,0,0,0,2,50,21,10:42:00,1,1,0,0,NA,37,36,9,83,CEN,n,0,NaN,0,NaN,#154734
39,Mathew Barzal,barzama01,21,NYI,C,82,18,44,62,-5,46,5.6,15,3,0,3,29,15,0,179,10.1,1470,17:55:00,56,25,241,339,41.6,48,27,7,103,MET,y,0.166666667,0.340909091,0,0,#00539B
40,Nathan Bastian,bastina01,21,NJD,RW,7,3,0,3,0,10,0.5,3,0,0,0,0,0,0,13,23.1,89,12:41:00,1,24,3,0,100,31,41,10,72,MET,n,0,NaN,0,NaN,#000000
41,Drake Batherson,bathedr01,20,OTT,C,20,3,6,9,-2,6,0.7,1,2,0,2,5,1,0,18,16.7,268,13:25:00,21,17,3,1,75,29,47,6,64,ATL,n,0.666666667,0.166666667,0,0,#C2912C
42,Gavin Bayreuther,bayrega01,24,DAL,D,19,2,3,5,2,10,1.4,2,0,0,0,1,2,0,25,8,346,18:11:00,19,11,0,0,NA,43,32,7,93,CEN,y,0,0.666666667,0,0,#006847
43,Jay Beagle,beaglja01,33,VAN,RW,57,3,10,13,-8,18,0.1,2,0,1,0,10,0,0,45,6.7,778,13:39:00,33,102,426,332,56.2,35,36,11,81,PAC,n,0,0,0.333333333,0,#00843D
44,Jake Bean,beanja01,20,CAR,D,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,17,8:28:00,0,1,0,0,NA,46,29,7,99,MET,y,NaN,NaN,NaN,NaN,#CC0000
45,Nathan Beaulieu,beaulna01,26,BUF,D,30,3,4,7,1,32,1.7,3,0,0,0,3,1,0,35,8.6,441,14:42:00,30,33,0,0,NA,33,39,10,76,ATL,n,0,0.25,0,0,#002654
45,Nathan Beaulieu,beaulna01,26,WPG,D,18,0,5,5,5,7,1.1,0,0,0,0,5,0,0,25,0,303,16:51:00,12,27,0,0,NA,47,30,5,99,CEN,y,NaN,0,NaN,0,#004C97
46,Anthony Beauvillier,beauvan01,21,NYI,LW,81,18,10,28,1,8,2.8,17,1,0,4,9,1,0,156,11.5,1186,14:39:00,35,87,26,31,45.6,48,27,7,103,MET,y,0.055555556,0.1,0,0,#00539B
47,Matt Beleskey,belesma01,30,NYR,LW,4,1,0,1,1,5,0.2,1,0,0,0,0,0,0,3,33.3,29,7:22:00,1,7,1,0,100,32,36,14,78,MET,n,0,NaN,0,NaN,#0038A8
48,Pierre-Edouard Bellemare,bellepi01,33,VEG,LW,76,6,9,15,2,6,0.7,4,0,2,0,9,0,0,108,5.6,945,12:26:00,51,71,393,326,54.7,43,32,7,93,PAC,y,0,0,0.333333333,0,#B4975A
49,Louie Belpedio,belpelo01,22,MIN,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,26,13:08:00,4,1,0,0,NA,37,36,9,83,CEN,n,NaN,NaN,NaN,NaN,#154734
50,Jamie Benn,bennja01,29,DAL,LW,78,27,26,53,14,56,6.6,19,8,0,2,23,3,0,189,14.3,1422,18:14:00,71,142,205,213,49,43,32,7,93,CEN,y,0.296296296,0.115384615,0,0,#006847
51,Jordie Benn,bennjo01,31,MTL,D,81,5,17,22,15,39,4.8,5,0,0,1,17,0,0,93,5.4,1474,18:12:00,128,124,0,0,NA,44,30,8,96,ATL,n,0,0,0,0,#AF1E2D
52,Sam Bennett,bennesa01,22,CGY,C,71,13,14,27,-6,93,1.9,9,4,0,2,12,2,0,115,11.3,944,13:17:00,27,121,50,40,55.6,50,25,7,107,PAC,y,0.307692308,0.142857143,0,0,#C8102E
53,Matt Benning,bennima01,24,EDM,D,70,5,12,17,11,33,4,5,0,0,0,10,1,1,94,5.3,1046,14:57:00,59,109,0,0,NA,35,38,9,79,PAC,n,0,0.083333333,0,0.083333333,#041E42
54,Patrice Bergeron,bergepa01,33,BOS,C,65,32,47,79,23,30,10.1,19,9,4,3,26,18,3,205,15.6,1200,18:28:00,60,43,786,603,56.6,49,24,9,107,ATL,y,0.28125,0.382978723,0.125,0.063829787,#FFB81C
55,Patrik Berglund,berglpa01,30,BUF,C,23,2,2,4,-5,6,0,2,0,0,0,2,0,0,25,8,300,13:03:00,16,25,68,48,58.6,33,39,10,76,ATL,n,0,0,0,0,#002654
