Tm,W,L,OL,TM_PTS,DIV,PLAYOFF
TBL,62,16,4,128,ATL,y
BOS,49,24,9,107,ATL,y
TOR,46,28,8,100,ATL,y
MTL,44,30,8,96,ATL,n
FLA,36,32,14,86,ATL,n
BUF,33,39,10,76,ATL,n
DET,32,40,10,74,ATL,n
OTT,29,47,6,64,ATL,n
WSH,48,26,8,104,MET,y
NYI,48,27,7,103,MET,y
PIT,44,26,12,100,MET,y
CAR,46,29,7,99,MET,y
CBJ,47,31,4,98,MET,y
PHI,37,37,8,82,MET,n
NYR,32,36,14,78,MET,n
NJD,31,41,10,72,MET,n
NSH,47,29,6,100,CEN,y
WPG,47,30,5,99,CEN,y
STL,45,28,9,99,CEN,y
DAL,43,32,7,93,CEN,y
COL,38,30,14,90,CEN,y
CHI,36,34,12,84,CEN,n
MIN,37,36,9,83,CEN,n
CGY,50,25,7,107,PAC,y
SJS,46,27,9,101,PAC,y
VEG,43,32,7,93,PAC,y
ARI,39,35,8,86,PAC,n
VAN,35,36,11,81,PAC,n
ANA,35,37,10,80,PAC,n
EDM,35,38,9,79,PAC,n
LAK,31,42,9,71,PAC,n
